START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/18/18,07:05 PM,08:05 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",06/18/18,06/18/18,10:05 PM,11:05 PM,FALSE,TRUE,06/18/18,06:05 PM,07:05 PM,FREE,BUSY
06/19/18,07:05 PM,08:05 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: ABC 7 ----- Local Radio: 670 The Score",06/19/18,06/19/18,10:05 PM,11:05 PM,FALSE,TRUE,06/19/18,06:05 PM,07:05 PM,FREE,BUSY
06/20/18,01:20 PM,02:20 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score- WRTO 1200",06/20/18,06/20/18,04:20 PM,05:20 PM,FALSE,TRUE,06/20/18,12:20 PM,01:20 PM,FREE,BUSY
06/21/18,06:10 PM,07:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",06/21/18,06/21/18,09:10 PM,10:10 PM,FALSE,TRUE,06/21/18,05:10 PM,06:10 PM,FREE,BUSY
06/22/18,06:10 PM,07:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: WGN ----- Local Radio: 670 The Score",06/22/18,06/22/18,09:10 PM,10:10 PM,FALSE,TRUE,06/22/18,05:10 PM,06:10 PM,FREE,BUSY
06/23/18,03:10 PM,04:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: ABC 7 ----- Local Radio: 670 The Score",06/23/18,06/23/18,06:10 PM,07:10 PM,FALSE,TRUE,06/23/18,02:10 PM,03:10 PM,FREE,BUSY
06/24/18,12:10 PM,01:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",06/24/18,06/24/18,03:10 PM,04:10 PM,FALSE,TRUE,06/24/18,11:10 AM,12:10 PM,FREE,BUSY
06/25/18,09:10 PM,10:10 PM,Cubs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBC Sports Chicago ----- Local Radio: 670 The Score",06/26/18,06/26/18,12:10 AM,01:10 AM,FALSE,TRUE,06/25/18,08:10 PM,09:10 PM,FREE,BUSY
06/26/18,09:10 PM,10:10 PM,Cubs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: WGN ----- Local Radio: 670 The Score",06/27/18,06/27/18,12:10 AM,01:10 AM,FALSE,TRUE,06/26/18,08:10 PM,09:10 PM,FREE,BUSY
06/27/18,09:10 PM,10:10 PM,Cubs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBC Sports Chicago+ ----- Local Radio: 670 The Score",06/28/18,06/28/18,12:10 AM,01:10 AM,FALSE,TRUE,06/27/18,08:10 PM,09:10 PM,FREE,BUSY
